language   ,word,subj,condition,error ,type  
english,0   ,0   ,A  ,42.317,foil  
english,1   ,0   ,A  ,21.782,target
english,2   ,0   ,A  ,15.597,target
english,3   ,0   ,A  ,27.64 ,foil  
english,4   ,0   ,A  ,17.119,target
english,5   ,0   ,A  ,21.875,foil  
english,6   ,0   ,A  ,12.423,target
english,7   ,0   ,A  ,46.3  ,foil  
english,8   ,0   ,A  ,21.59 ,foil  
english,9   ,0   ,A  ,19.67 ,target
english,10  ,0   ,A  ,17.089,foil  
english,11  ,0   ,A  ,15.645,target
english,12  ,0   ,A  ,27.361,foil  
english,13  ,0   ,A  ,9.56  ,target
english,14  ,0   ,A  ,13.746,foil  
english,15  ,0   ,A  ,5.998 ,target
english,16  ,0   ,A  ,18.695,target
english,17  ,0   ,A  ,17.641,foil  
english,18  ,0   ,A  ,6.457 ,target
english,19  ,0   ,A  ,32.938,foil  
english,20  ,0   ,A  ,15.655,foil  
english,21  ,0   ,A  ,26.913,target
english,22  ,0   ,A  ,8.822 ,target
english,23  ,0   ,A  ,16.596,foil  
english,24  ,0   ,A  ,28.159,foil  
english,25  ,0   ,A  ,5.904 ,target
english,26  ,0   ,A  ,15.546,foil  
english,27  ,0   ,A  ,8.213 ,target
english,28  ,0   ,A  ,16.438,foil  
english,29  ,0   ,A  ,5.14  ,target
english,30  ,0   ,A  ,13.622,target
english,31  ,0   ,A  ,24.696,foil  
english,32  ,0   ,A  ,8.021 ,target
english,33  ,0   ,A  ,18.163,foil  
english,34  ,0   ,A  ,13.386,foil  
english,35  ,0   ,A  ,9.971 ,target
english,36  ,0   ,A  ,7.761 ,target
english,37  ,0   ,A  ,22.498,foil  
english,38  ,0   ,A  ,15.879,foil  
english,39  ,0   ,A  ,4.752 ,target
english,40  ,0   ,A  ,13.54 ,foil  
english,41  ,0   ,A  ,12.44 ,target
english,42  ,0   ,A  ,24.587,foil  
english,43  ,0   ,A  ,9.007 ,target
english,44  ,0   ,A  ,6.409 ,target
english,45  ,0   ,A  ,23.836,foil  
english,46  ,0   ,A  ,14.287,target
english,47  ,0   ,A  ,12.175,foil  
english,48  ,0   ,A  ,5.546 ,target
english,49  ,0   ,A  ,18.251,foil  
english,50  ,0   ,A  ,13.783,target
english,51  ,0   ,A  ,12.842,foil  
english,52  ,0   ,A  ,14.678,foil  
