Phoneme,son.,cons.,voice,nasal,degree,labial,pal.,phar.,l.lip,tongue,rad.
&,1,0,1,0,0,0,0,1,0,0,1
3,1,0,1,0,0,0,0,1,1,0,0
9,0,1,1,1,1,0,0,0,0,0,0
@,1,0,1,0,1,0,0,0,0,0,0
A,1,0,1,1,0,0,0,1,0,0,0
D,0,1,1,0,0,0,1,0,0,0,0
I,1,0,1,0,0,0,0,0,0,0,0
O,1,0,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,1,1,0
S,1,1,0,0,0,0,0,0,0,0,0
T,0,1,0,0,0,0,1,0,0,0,0
U,1,0,1,0,0,0,0,0,1,0.5,0
V,1,0,1,0,0,0,0,0,0,0,0
Z,1,1,1,0,0,0,0,0,0,0,0
a,1,0,1,0,0,0,0,1,0,0,0
b,0,1,1,0,1,1,0,0,1,0,0
d,0,1,1,0,1,0,1,0,0,1,0
e,1,0,1,0,0,0,0,0,0,0,1
f,0,1,0,0,0,0,1,0,1,0,0
g,0,1,1,0,1,0,0,0,0,0,0
h,0,1,0,0,0,0,0,1,0,0,0
i,1,0,1,0,0,0,0,0,0,0,1
j,0,0,1,0,0,0,0,0,0,0,1
k,0,1,0,0,1,0,0,0,0,0,0
l,0,0,1,0,0,0,1,0,0,1,0
m,0,0,1,1,1,1,0,0,1,0,0
n,0,0,1,1,1,0,1,0,0,1,0
o,1,0,1,0,0,0,0,0,1,0,1
p,0,1,0,0,1,1,0,0,1,0,0
r,0,0,1,0,0,0,0,1,1,0,0
s,0,1,0,0,0,0,1,0,0,1,0
t,0,1,0,0,1,0,1,0,0,1,0
u,1,0,1,0,0,0,0,0,1,0.5,1
v,0,1,1,0,0,0,1,0,1,0,0
w,0,0,1,0,0,1,0,0,1,0,0
z,0,1,1,0,0,0,1,0,0,1,0
