NEWSAMPA,voc,son,stop,lat,voi,SG,lab,alv,pal,vel,pha,apr,fro,sib,ret
i,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0
e,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
E,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
A,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
y,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0
Y,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0
7,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
6,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0
u,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
9,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0
U,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
O,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
o,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0
p,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
t,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
k,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
b,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
d,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
g,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
f,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
s,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
S,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
z,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Z,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
h,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
v,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
j,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0
r,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
G,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
R,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
m,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
n,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
N,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
l,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
D,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
T,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
w,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
